trial_id,true_bit,S_phi,S_rho
0,1,2.14773819e-01,9.03371811e-01
1,1,2.14926988e-01,9.02677894e-01
2,0,1.95202157e-01,9.16803241e-01
3,0,1.95905209e-01,9.17051733e-01
4,0,1.95379242e-01,9.16919053e-01
5,1,2.14866340e-01,9.02251482e-01
6,0,1.95178434e-01,9.17624354e-01
7,1,2.15402111e-01,9.02434349e-01
8,0,1.95705250e-01,9.15730596e-01
9,1,2.14628994e-01,9.02255774e-01
10,0,1.96057633e-01,9.16267872e-01
11,0,1.95948318e-01,9.15429950e-01
12,0,1.95363671e-01,9.16290164e-01
13,1,2.14841321e-01,9.02123034e-01
14,0,1.95672303e-01,9.16545928e-01
15,1,2.15244338e-01,9.03231263e-01
16,1,2.14853257e-01,9.03147340e-01
17,1,2.15070993e-01,9.03315783e-01
18,1,2.14675590e-01,9.02304888e-01
19,1,2.14382038e-01,9.03764486e-01
20,0,1.95498139e-01,9.16425705e-01
21,1,2.14855582e-01,9.02426839e-01
22,0,1.96165144e-01,9.16273355e-01
23,1,2.14647979e-01,9.02597249e-01
24,0,1.95658118e-01,9.16506827e-01
25,0,1.95827633e-01,9.16764736e-01
26,1,2.15154052e-01,9.03360784e-01
27,0,1.95923537e-01,9.16804552e-01
28,1,2.15096831e-01,9.02437449e-01
29,1,2.14912206e-01,9.02410984e-01
30,0,1.95455447e-01,9.16421950e-01
31,0,1.95581943e-01,9.16186571e-01
32,0,1.95296183e-01,9.16203499e-01
33,0,1.95966765e-01,9.16672826e-01
34,0,1.95906281e-01,9.15821731e-01
35,1,2.15101734e-01,9.02251720e-01
36,0,1.95031241e-01,9.17158365e-01
37,0,1.96181864e-01,9.16335702e-01
38,0,1.95454359e-01,9.16878700e-01
39,0,1.94969997e-01,9.17465210e-01
40,1,2.14927375e-01,9.02682483e-01
41,1,2.14903712e-01,9.01984155e-01
42,0,1.95503920e-01,9.15928006e-01
43,0,1.96225539e-01,9.16235924e-01
44,1,2.15280756e-01,9.02880728e-01
45,1,2.15480745e-01,9.02902544e-01
46,1,2.15183198e-01,9.02450323e-01
47,1,2.14753479e-01,9.02958512e-01
48,1,2.15202779e-01,9.02098298e-01
49,0,1.95797354e-01,9.17377412e-01
50,0,1.95861250e-01,9.17554319e-01
51,1,2.14995414e-01,9.03194308e-01
52,1,2.14701906e-01,9.02385592e-01
53,1,2.14930102e-01,9.02712524e-01
54,0,1.95100531e-01,9.16962922e-01
55,1,2.14963377e-01,9.02804852e-01
56,0,1.95374951e-01,9.16222453e-01
57,1,2.14690313e-01,9.03021216e-01
58,1,2.14775175e-01,9.03064549e-01
59,0,1.95305407e-01,9.16283011e-01
60,1,2.14701101e-01,9.02610600e-01
61,1,2.15065986e-01,9.02980447e-01
62,0,1.95835665e-01,9.17459846e-01
63,0,1.95144057e-01,9.16026533e-01
64,1,2.14994743e-01,9.02231216e-01
65,0,1.95807189e-01,9.16562319e-01
66,0,1.95468962e-01,9.16183710e-01
67,1,2.15710372e-01,9.03396487e-01
68,1,2.15200707e-01,9.02493417e-01
69,1,2.14578405e-01,9.03027594e-01
70,1,2.15206623e-01,9.03279543e-01
71,0,1.95275217e-01,9.16272461e-01
72,0,1.95351481e-01,9.16806459e-01
73,1,2.15330258e-01,9.02779222e-01
74,0,1.95671290e-01,9.16498303e-01
75,1,2.14923978e-01,9.02916193e-01
76,1,2.14804307e-01,9.03142095e-01
77,1,2.14405239e-01,9.02908921e-01
78,0,1.95845827e-01,9.16930079e-01
79,1,2.14927912e-01,9.02880192e-01
80,0,1.95071951e-01,9.16616440e-01
81,1,2.14743346e-01,9.02888060e-01
82,0,1.95482075e-01,9.17250991e-01
83,0,1.95360258e-01,9.16485906e-01
84,0,1.94860622e-01,9.16817427e-01
85,0,1.95671856e-01,9.16914225e-01
86,0,1.95614517e-01,9.16028261e-01
87,1,2.15733677e-01,9.02710557e-01
