trial_id,bit_label,time,O_phi,O_rho
0,0,0.000000,-1.04966938e+00,3.57235402e-01
0,0,0.046875,-1.30671751e+00,3.44943523e-01
0,0,0.093750,-1.46168673e+00,3.24283630e-01
0,0,0.140625,-1.64225411e+00,2.99520135e-01
0,0,0.187500,-1.72859502e+00,2.66873240e-01
0,0,0.234375,-1.85465169e+00,2.37785965e-01
0,0,0.281250,-1.95218968e+00,2.20762223e-01
0,0,0.328125,-2.00099754e+00,1.96830675e-01
0,0,0.375000,-2.09206104e+00,1.89430147e-01
0,0,0.421875,-2.17292142e+00,1.70899227e-01
0,0,0.468750,-2.24838018e+00,1.49788469e-01
0,0,0.515625,-2.25761843e+00,1.37935817e-01
0,0,0.562500,-2.32661843e+00,1.30395770e-01
0,0,0.609375,-2.34086943e+00,1.24651626e-01
0,0,0.656250,-2.38276124e+00,1.22746751e-01
0,0,0.703125,-2.41992092e+00,1.18042253e-01
0,0,0.750000,-2.40302849e+00,1.13909557e-01
0,0,0.796875,-2.44628572e+00,1.11750193e-01
0,0,0.843750,-2.46025014e+00,1.14771575e-01
0,0,0.890625,-2.48886538e+00,1.17802322e-01
0,0,0.937500,-2.49322462e+00,1.18405335e-01
0,0,0.984375,-2.51726198e+00,1.22171998e-01
0,0,1.031250,-2.43169641e+00,1.27339602e-01
0,0,1.078125,-2.22342420e+00,1.34311467e-01
0,0,1.125000,-2.29144216e+00,1.40521660e-01
0,0,1.171875,-2.21018052e+00,1.46637917e-01
0,0,1.218750,-2.21310210e+00,1.55560881e-01
0,0,1.265625,-2.29684591e+00,1.60370797e-01
0,0,1.312500,-2.27716041e+00,1.81337893e-01
0,0,1.359375,-2.44862914e+00,1.85664475e-01
0,0,1.406250,-2.42370415e+00,2.01797962e-01
0,0,1.453125,-2.55519533e+00,2.17714041e-01
0,0,1.500000,-2.88598013e+00,2.32772008e-01
0,0,1.546875,-2.80365038e+00,2.43131012e-01
0,0,1.593750,-2.96049786e+00,2.54223883e-01
0,0,1.640625,3.06185246e+00,2.73067057e-01
0,0,1.687500,-3.12626219e+00,2.98306376e-01
0,0,1.734375,-3.07592201e+00,3.25375348e-01
0,0,1.781250,-3.03638935e+00,3.45455945e-01
0,0,1.828125,-2.94356418e+00,3.59831214e-01
0,0,1.875000,3.02651644e+00,3.82140458e-01
0,0,1.921875,3.03770304e+00,4.08781469e-01
0,0,1.968750,3.01374459e+00,4.41037804e-01
