rho0,V_torus,F_mean,F_std,M_measured,M_std,M_displaced,C_added
0.2,31000.0,0.43689001254737375,0.11970822366716491,21844.500627368685,5985.411183358245,6200.0,3.523306552801401
0.4,31000.0,0.8737789578860005,0.23941657225849108,43688.94789430002,11970.828612924553,12400.0,3.523302249540324
0.6,31000.0,1.310218928940594,0.3586592508038838,65510.9464470297,17932.96254019419,18600.0,3.5220938950015968
0.8,31000.0,1.7475581579655408,0.47883460620285345,87377.90789827703,23941.73031014267,24800.0,3.523302737833751
1.0,31000.0,2.1843582300593454,0.5984476933633905,109217.91150296725,29922.384668169525,31000.0,3.523158435579589
1.2,31000.0,2.620440363287926,0.7173180823622018,131022.01816439629,35865.90411811009,37200.0,3.522097262483771
1.4,31000.0,3.057952955390016,0.8375756495221359,152897.6477695008,41878.78247610679,43400.0,3.522987275794949
1.6,31000.0,3.4951146128276984,0.9576672328014009,174755.7306413849,47883.36164007004,49600.0,3.5233010209956634
1.8,31000.0,3.931775568475326,1.0771617350046752,196588.77842376629,53858.08675023376,55800.0,3.5230963875226933
2.0,31000.0,4.368719505270322,1.1968991190697742,218435.9752635161,59844.95595348871,62000.0,3.523160891347034
