topology,crossing_number,rho0,F_mean,F_std,M_measured,M_std,V_solid,C_added
Unknot (Torus),0,0.40,6.33643511e-01,1.93020260e-01,31682.1755,9651.0130,17332,4.569896
Unknot (Torus),0,0.80,1.26728684e+00,3.86040399e-01,63364.3421,19302.0200,17332,4.569895
Unknot (Torus),0,1.00,1.58407220e+00,4.82543845e-01,79203.6098,24127.1923,17332,4.569791
Unknot (Torus),0,1.20,1.90067255e+00,5.78848537e-01,95033.6276,28942.4269,17332,4.569276
Unknot (Torus),0,1.60,2.53457420e+00,7.72081224e-01,126728.7101,38604.0612,17332,4.569896
Unknot (Torus),0,2.00,3.16814520e+00,9.65086940e-01,158407.2600,48254.3470,17332,4.569792
"Trefoil T(2,3)",3,0.40,1.27226393e+00,3.93672941e-01,63613.1966,19683.6470,38196,4.163603
"Trefoil T(2,3)",3,0.80,2.54452781e+00,7.87346004e-01,127226.3903,39367.3002,38196,4.163603
"Trefoil T(2,3)",3,1.00,3.18062463e+00,9.84232013e-01,159031.2315,49211.6007,38196,4.163557
"Trefoil T(2,3)",3,1.20,3.81672443e+00,1.18102093e+00,190836.2217,59051.0465,38196,4.163530
"Trefoil T(2,3)",3,1.60,5.08905658e+00,1.57469148e+00,254452.8290,78734.5741,38196,4.163604
"Trefoil T(2,3)",3,2.00,6.36124877e+00,1.96846402e+00,318062.4384,98423.2008,38196,4.163557
Figure-Eight 4_1,4,0.40,1.92803197e+00,4.90648763e-01,96401.5986,24532.4382,58264,4.136414
Figure-Eight 4_1,4,0.80,3.85606388e+00,9.81297739e-01,192803.1938,49064.8869,58264,4.136413
Figure-Eight 4_1,4,1.00,4.81983031e+00,1.22632164e+00,240991.5156,61316.0818,58264,4.136199
Figure-Eight 4_1,4,1.20,5.78337909e+00,1.47088770e+00,289168.9543,73544.3851,58264,4.135901
Figure-Eight 4_1,4,1.60,7.71212688e+00,1.96259530e+00,385606.3442,98129.7650,58264,4.136413
Figure-Eight 4_1,4,2.00,9.63966146e+00,2.45264312e+00,481983.0732,122632.1562,58264,4.136200
