separation,E_kin,E_int,E_total,F_numerical,vortex_pts,n_loops
2.0000,3148.582945,0.00009482,3148.583040,-6.722051,1072,8
3.0000,3155.304993,0.00009758,3155.305091,11.310551,1095,8
4.0000,3125.961844,0.00009456,3125.961939,8.068960,1065,7
5.0000,3139.167071,0.00009998,3139.167171,-13.827707,1143,7
5.5000,3146.236541,0.00010239,3146.236643,-14.476653,1200,7
6.0000,3153.643720,0.00010465,3153.643824,-15.415635,1209,7
6.5000,3161.652172,0.00010681,3161.652278,-16.928153,1212,7
7.0000,3170.571869,0.00010889,3170.571978,-19.158557,1254,7
7.5000,3180.810724,0.00011095,3180.810835,-22.436131,1269,7
8.0000,3193.007996,0.00011303,3193.008109,-27.537738,1311,7
8.5000,3208.348458,0.00011521,3208.348573,-36.468532,1341,7
9.0000,3229.476524,0.00011765,3229.476641,-56.269851,1353,7
9.5000,3264.618304,0.00012083,3264.618424,-121.254658,1389,7
10.0000,3350.731162,0.00013676,3350.731299,-180.765726,1563,8
10.5000,3445.383995,0.00015525,3445.384151,-129.312652,1812,9
11.0000,3480.043798,0.00015239,3480.043951,-48.650401,1752,9
11.5000,3494.034401,0.00015036,3494.034552,-19.422301,1692,9
12.0000,3499.466103,0.00014878,3499.466252,-5.412630,1644,9
12.5000,3499.447035,0.00014743,3499.447182,4.185389,1647,9
13.0000,3495.280717,0.00014622,3495.280863,11.788889,1653,9
13.5000,3487.658148,0.00014513,3487.658293,18.285073,1653,9
14.0000,3476.995646,0.00014413,3476.995790,24.033024,1635,9
15.0000,3447.546587,0.00014234,3447.546729,34.382465,1611,9
16.0000,3408.230720,0.00014077,3408.230861,43.936433,1587,9
17.0000,3359.673723,0.00013939,3359.673863,53.042090,1587,9
18.0000,3302.146543,0.00013814,3302.146681,57.527182,1584,9
