step,r_mean,E_total,n_loops,n_vortex
0,23.6539,6790.801167,7,1149
50,22.5932,6761.137949,7,1014
100,22.0119,6668.806209,7,996
150,21.5290,6531.240609,7,1056
200,21.0346,6357.403992,4,1101
250,20.5842,6155.928445,4,1140
300,20.1116,5935.991682,4,1140
350,19.6706,5706.702413,4,1170
400,19.2981,5476.118986,4,1203
450,18.9149,5250.440019,4,1290
500,18.5182,5033.824857,4,1371
550,18.1896,4828.564171,4,1368
600,17.8340,4635.477700,4,1431
650,17.5220,4454.322151,4,1470
700,17.2223,4284.135100,4,1548
750,16.9557,4123.556731,4,1632
800,16.7374,3971.130970,4,1695
850,16.5218,3825.461893,4,1731
900,16.3540,3685.413733,4,1746
950,16.2435,3550.293448,4,1818
1000,16.1799,3419.582455,4,1905
1050,16.0961,3293.038365,4,1959
1100,16.0922,3170.661700,4,1989
1150,16.0599,3052.855906,4,2013
1200,16.0792,2940.053766,4,2085
1250,16.1188,2832.790995,4,2052
1300,16.1864,2731.924512,4,2103
1350,16.2853,2637.894163,4,2115
1400,16.2439,2551.201044,4,2181
1450,16.3370,2473.228515,4,2196
1500,16.5638,2403.259426,4,2148
1550,16.7570,2342.896540,4,2115
1600,16.8596,2290.946838,4,2136
1650,16.8816,2249.085693,4,2172
1700,16.8983,2215.476827,4,2217
1750,17.0529,2192.754775,4,2145
1800,17.2319,2178.062750,4,2142
1850,17.3893,2173.307504,4,2157
1900,17.3848,2177.372662,4,2136
1950,17.4867,2187.252047,4,2157
