time,exm_A,exm_B,var_A,var_B,dev_A,dev_B,ke_A,ke_B
0.1000,109.625529,122.780054,0.00544554,0.00460276,0.06628871,0.06784295,11.558308,0.722780
0.2000,109.625508,122.780038,0.00544571,0.00460276,0.06628892,0.06784295,11.558152,0.722780
0.3000,109.625473,122.780011,0.00544599,0.00460276,0.06628929,0.06784293,11.557896,0.722781
0.4000,109.625425,122.779974,0.00544637,0.00460276,0.06628980,0.06784291,11.557549,0.722782
0.5000,109.625363,122.779927,0.00544683,0.00460276,0.06629047,0.06784288,11.557123,0.722783
0.6000,109.625287,122.779869,0.00544737,0.00460276,0.06629132,0.06784285,11.556628,0.722785
0.7000,109.625198,122.779801,0.00544798,0.00460277,0.06629237,0.06784281,11.556078,0.722787
0.8000,109.625095,122.779722,0.00544862,0.00460277,0.06629362,0.06784277,11.555484,0.722789
0.9000,109.624978,122.779633,0.00544931,0.00460277,0.06629509,0.06784272,11.554858,0.722791
1.0000,109.624847,122.779533,0.00545001,0.00460278,0.06629679,0.06784267,11.554211,0.722794
1.1000,109.624708,122.779429,0.00545073,0.00460278,0.06629871,0.06784261,11.553550,0.722798
1.2000,109.624571,122.779329,0.00545145,0.00460279,0.06630085,0.06784255,11.552885,0.722801
1.3000,109.624403,122.779201,0.00545217,0.00460279,0.06630318,0.06784248,11.552221,0.722805
1.4000,109.624138,122.778983,0.00545288,0.00460279,0.06630562,0.06784236,11.551565,0.722810
1.5000,109.623777,122.778676,0.00545356,0.00460278,0.06630815,0.06784219,11.550922,0.722814
1.6000,109.623455,122.778414,0.00545423,0.00460278,0.06631079,0.06784205,11.550296,0.722820
1.7000,109.623394,122.778414,0.00545490,0.00460280,0.06631362,0.06784205,11.549690,0.722829
1.8000,109.623777,122.778853,0.00545557,0.00460286,0.06631671,0.06784229,11.549109,0.722841
1.9000,109.624611,122.779736,0.00545626,0.00460295,0.06632003,0.06784278,11.548554,0.722859
2.0000,109.625663,122.780831,0.00545694,0.00460305,0.06632342,0.06784338,11.548028,0.722882
2.1000,109.626479,122.781692,0.00545757,0.00460314,0.06632661,0.06784386,11.547533,0.722913
2.2000,109.626483,122.781753,0.00545811,0.00460318,0.06632925,0.06784389,11.547075,0.722954
2.3000,109.625105,122.780457,0.00545853,0.00460311,0.06633101,0.06784318,11.546662,0.723012
2.4000,109.621905,122.777377,0.00545879,0.00460292,0.06633164,0.06784148,11.546306,0.723100
2.5000,109.616676,122.772316,0.00545888,0.00460260,0.06633103,0.06783868,11.546024,0.723231
2.6000,109.609498,122.765358,0.00545883,0.00460215,0.06632920,0.06783483,11.545833,0.723423
2.7000,109.600757,122.756889,0.00545865,0.00460161,0.06632637,0.06783015,11.545754,0.723697
2.8000,109.591124,122.747574,0.00545841,0.00460103,0.06632291,0.06782501,11.545812,0.724076
2.9000,109.581503,122.738311,0.00545818,0.00460049,0.06631932,0.06781989,11.546039,0.724596
3.0000,109.572964,122.730156,0.00545807,0.00460010,0.06631619,0.06781538,11.546479,0.725299
3.1000,109.566660,122.724245,0.00545822,0.00459999,0.06631417,0.06781212,11.547191,0.726248
