freq,omega,power,mass_GeV
0.00000000,0.00000000,2.21694531e+02,0.0000
0.00078125,0.00490874,2.37125533e+02,5.2083
0.00156250,0.00981748,2.85456274e+02,10.4167
0.00234375,0.01472622,3.72045878e+02,15.6250
0.00312500,0.01963495,5.03514926e+02,20.8333
0.00390625,0.02454369,6.84934773e+02,26.0417
0.00468750,0.02945243,9.17031476e+02,31.2500
0.00546875,0.03436117,1.19418270e+03,36.4583
0.00625000,0.03926991,1.50379700e+03,41.6667
0.00703125,0.04417865,1.82732084e+03,46.8750
0.00781250,0.04908739,2.14270724e+03,52.0833
0.00859375,0.05399612,2.42780650e+03,57.2917
0.00937500,0.05890486,2.66390124e+03,62.5000
0.01015625,0.06381360,2.83856720e+03,67.7083
0.01093750,0.06872234,2.94720940e+03,72.9167
0.01171875,0.07363108,2.99295536e+03,78.1250
0.01250000,0.07853982,2.98499615e+03,83.3333
0.01328125,0.08344855,2.93584315e+03,88.5417
0.01406250,0.08835729,2.85821493e+03,93.7500
0.01484375,0.09326603,2.76232300e+03,98.9583
0.01562500,0.09817477,2.65417754e+03,104.1667
0.01640625,0.10308351,2.53523335e+03,109.3750
0.01718750,0.10799225,2.40332829e+03,114.5833
0.01796875,0.11290099,2.25453619e+03,119.7917
0.01875000,0.11780972,2.08534989e+03,125.0000
0.01953125,0.12271846,1.89457722e+03,130.2083
0.02031250,0.12762720,1.68446848e+03,135.4167
0.02109375,0.13253594,1.46084673e+03,140.6250
0.02187500,0.13744468,1.23230070e+03,145.8333
0.02265625,0.14235342,1.00873957e+03,151.0417
0.02343750,0.14726216,7.99736972e+02,156.2500
0.02421875,0.15217089,6.13086472e+02,161.4583
0.02500000,0.15707963,4.53870645e+02,166.6667
0.02578125,0.16198837,3.24164043e+02,171.8750
0.02656250,0.16689711,2.23308570e+02,177.0833
0.02734375,0.17180585,1.48572448e+02,182.2917
0.02812500,0.17671459,9.59583042e+01,187.5000
0.02890625,0.18162333,6.09582969e+01,192.7083
0.02968750,0.18653206,3.91359372e+01,197.9167
0.03046875,0.19144080,2.65053685e+01,203.1250
0.03125000,0.19634954,1.97447816e+01,208.3333
0.03203125,0.20125828,1.63038851e+01,213.5417
0.03281250,0.20616702,1.44495988e+01,218.7500
0.03359375,0.21107576,1.32591710e+01,223.9583
0.03437500,0.21598449,1.25407999e+01,229.1667
0.03515625,0.22089323,1.26570585e+01,234.3750
0.03593750,0.22580197,1.42501119e+01,239.5833
0.03671875,0.23071071,1.79086679e+01,244.7917
0.03750000,0.23561945,2.38541674e+01,250.0000
0.03828125,0.24052819,3.17375533e+01,255.2083
0.03906250,0.24543693,4.06173740e+01,260.4167
0.03984375,0.25034566,4.91389044e+01,265.6250
0.04062500,0.25525440,5.58696239e+01,270.8333
0.04140625,0.26016314,5.96923817e+01,276.0417
0.04218750,0.26507188,6.01344645e+01,281.2500
0.04296875,0.26998062,5.75279271e+01,286.4583
0.04375000,0.27488936,5.29485734e+01,291.6667
0.04453125,0.27979810,4.79499762e+01,296.8750
0.04531250,0.28470683,4.41713461e+01,302.0833
0.04609375,0.28961557,4.29334659e+01,307.2917
0.04687500,0.29452431,4.49350598e+01,312.5000
0.04765625,0.29943305,5.01258399e+01,317.7083
0.04843750,0.30434179,5.77761843e+01,322.9167
0.04921875,0.30925053,6.67064487e+01,328.1250
0.05000000,0.31415927,7.55989691e+01,333.3333
0.05078125,0.31906800,8.33029868e+01,338.5417
0.05156250,0.32397674,8.90571740e+01,343.7500
0.05234375,0.32888548,9.25876723e+01,348.9583
0.05312500,0.33379422,9.40786477e+01,354.1667
0.05390625,0.33870296,9.40449347e+01,359.3750
0.05468750,0.34361170,9.31544718e+01,364.5833
0.05546875,0.34852044,9.20501438e+01,369.7917
0.05625000,0.35342917,9.12098183e+01,375.0000
0.05703125,0.35833791,9.08660869e+01,380.2083
0.05781250,0.36324665,9.09897667e+01,385.4167
0.05859375,0.36815539,9.13278103e+01,390.6250
0.05937500,0.37306413,9.14784707e+01,395.8333
0.06015625,0.37797287,9.09838396e+01,401.0417
0.06093750,0.38288160,8.94207963e+01,406.2500
0.06171875,0.38779034,8.64747355e+01,411.4583
0.06250000,0.39269908,8.19854724e+01,416.6667
0.06328125,0.39760782,7.59610821e+01,421.8750
0.06406250,0.40251656,6.85624658e+01,427.0833
0.06484375,0.40742530,6.00678533e+01,432.2917
0.06562500,0.41233404,5.08304768e+01,437.5000
0.06640625,0.41724277,4.12426922e+01,442.7083
0.06718750,0.42215151,3.17153794e+01,447.9167
0.06796875,0.42706025,2.26736492e+01,453.1250
0.06875000,0.43196899,1.45613781e+01,458.3333
0.06953125,0.43687773,7.84123578e+00,463.5417
0.07031250,0.44178647,2.97633622e+00,468.7500
0.07109375,0.44669521,3.85319883e-01,473.9583
0.07187500,0.45160394,3.73026019e-01,479.1667
0.07265625,0.45651268,3.05042143e+00,484.3750
0.07343750,0.46142142,8.26581237e+00,489.5833
0.07421875,0.46633016,1.55710940e+01,494.7917
0.07500000,0.47123890,2.42405839e+01,500.0000
0.07578125,0.47614764,3.33472941e+01,505.2083
0.07656250,0.48105638,4.18860876e+01,510.4167
0.07734375,0.48596511,4.89198545e+01,515.6250
0.07812500,0.49087385,5.37178112e+01,520.8333
0.07890625,0.49578259,5.58564505e+01,526.0417
0.07968750,0.50069133,5.52630060e+01,531.2500
0.08046875,0.50560007,5.21955986e+01,536.4583
0.08125000,0.51050881,4.71691797e+01,541.6667
0.08203125,0.51541754,4.08477789e+01,546.8750
0.08281250,0.52032628,3.39285967e+01,552.0833
0.08359375,0.52523502,2.70415101e+01,557.2917
0.08437500,0.53014376,2.06800626e+01,562.5000
0.08515625,0.53505250,1.51698777e+01,567.7083
0.08593750,0.53996124,1.06709024e+01,572.9167
0.08671875,0.54486998,7.20346521e+00,578.1250
0.08750000,0.54977871,4.68594593e+00,583.3333
0.08828125,0.55468745,2.97351423e+00,588.5417
0.08906250,0.55959619,1.89137052e+00,593.7500
0.08984375,0.56450493,1.26029024e+00,598.9583
0.09062500,0.56941367,9.15406824e-01,604.1667
0.09140625,0.57432241,7.20289835e-01,609.3750
0.09218750,0.57923115,5.77662294e-01,614.5833
0.09296875,0.58413988,4.36470160e-01,619.7917
0.09375000,0.58904862,2.93630211e-01,625.0000
0.09453125,0.59395736,1.88544172e-01,630.2083
0.09531250,0.59886610,1.89660411e-01,635.4167
0.09609375,0.60377484,3.74576197e-01,640.6250
0.09687500,0.60868358,8.07497114e-01,645.8333
0.09765625,0.61359232,1.51929782e+00,651.0417
0.09843750,0.61850105,2.49526792e+00,656.2500
0.09921875,0.62340979,3.67378302e+00,661.4583
0.10000000,0.62831853,4.95615926e+00,666.6667
0.10078125,0.63322727,6.22481335e+00,671.8750
0.10156250,0.63813601,7.36461315e+00,677.0833
0.10234375,0.64304475,8.28170492e+00,682.2917
0.10312500,0.64795348,8.91529970e+00,687.5000
0.10390625,0.65286222,9.24042553e+00,692.7083
0.10468750,0.65777096,9.26259430e+00,697.9167
0.10546875,0.66267970,9.00767854e+00,703.1250
0.10625000,0.66758844,8.51129274e+00,708.3333
0.10703125,0.67249718,7.81138633e+00,713.5417
0.10781250,0.67740592,6.94591901e+00,718.7500
0.10859375,0.68231465,5.95515888e+00,723.9583
0.10937500,0.68722339,4.88620237e+00,729.1667
0.11015625,0.69213213,3.79644758e+00,734.3750
0.11093750,0.69704087,2.75321182e+00,739.5833
0.11171875,0.70194961,1.82822973e+00,744.7917
0.11250000,0.70685835,1.08778567e+00,750.0000
0.11328125,0.71176709,5.80976837e-01,755.2083
0.11406250,0.71667582,3.29469510e-01,760.4167
0.11484375,0.72158456,3.21840676e-01,765.6250
0.11562500,0.72649330,5.14337373e-01,770.8333
0.11640625,0.73140204,8.38103344e-01,776.0417
0.11718750,0.73631078,1.21121474e+00,781.2500
0.11796875,0.74121952,1.55274767e+00,786.4583
